location,supervisory_district,zip,jurisdiction,hours_monday,hours_tuesday,hours_wednesday,hours_thursday,hours_friday,hours_saturday,hours_sunday,remarks
Portsmouth Square Garage-733 Kearny St.,3,94108,Parking Authority,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
St. Marys Square Garage-433 Kearny,3,94108,Parking Authority,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Currently patrons only
Chinese Playground-Sacramento/Stockton,3,94108,Rec. & Park,1:30pm-9pm,2:30pm-9pm,2:30pm-9pm,2:30pm-9pm,2:30pm-9pm,9am-6pm,11am-5pm,
Chinese Rec. Center-Washington/Mason,3,94108,Rec. & Park,1pm-10pm,10am-10pm,1pm-10pm,9:30am-10pm,1pm-10pm,9am-6pm,11am-5pm,
Portsmouth Square 1-Kearny/Clay,3,94108,Rec. & Park,6am-11pm,6am-11pm,6am-11pm,6am-11pm,6am-11pm,6am-11pm,6am-11pm,
Portsmouth Square 2-Kearny/Clay,3,94108,Rec. & Park,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,10am-5pm,
St. Mary's Square-California/Kearny,3,94108,Rec. & Park,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,Under construction
Chinatown-1135 Powell,3,94108,SF Public Library,1pm-9pm,10am-9pm,10am-9pm,10am-6pm,1pm-6pm,10am-6pm,1pm-5pm,
Larkin/Myrtle,6,94109,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Free entry
Polk Bush-1399 Bush St.,3,94109,Parking Authority,7:30am-12am,7:30am-12am,7:30am-12am,7:30am-12am,8:30am-2am,8:30am-2am,11am-12am,Currently patrons only
Lafayette Park-Washington/Gough,2,94109,Rec. & Park,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,7am-3:30pm,
Larkin Str. Youth Clinic-1050 Larkin Street,6,94109,SF Health Dept.,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,
Mission/24th St.,9,94110,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Mission/16th St.,6,94110,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
So. Van Ness/Cesar Chavez,9,94110,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Mission Bartlett-3255 21st St.,9,94110,Parking Authority,6:30am-12am,6:30am-12am,6:30am-12am,6:30am-12am,6:30am-2am,6:30am-2am,8:30am-12am,Portable
16th and Hoff-16th and Hoff St.,6,94110,Parking Authority,7am-2am,7am-2am,7am-2am,7am-2am,7am-2am,7am-2am,7am-2am,Currently patrons only
SF General Hospital-2501 23rd St.,9,94110,Parking Authority,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Bernal Heights-Bernal Heights/Folsom,9,94110,Rec. & Park,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm,11:30am-8:30pm,9am-6pm,closed,
Garfield P/G-Harrison/25th St.,9,94110,Rec. & Park,1pm - 6pm,1pm - 6pm,1pm - 6pm,1pm - 6pm,1pm - 6pm,closed,closed,
Holly Park-Cortland/Bocana,9,94110,Rec. & Park,7am - 2:30 pm,7am - 2:30 pm,7am - 2:30 pm,7am - 2:30 pm,7am - 2:30 pm,7am-2:30pm,closed,
Jose Coronado P/G-21st/Folsom,9,94110,Rec. & Park,10am -10pm,10am -10pm,10am -10pm,10am -10pm,10am -10pm,9am-6pm,9am-6pm,
Mission P/G-19th St./Valenica,9,94110,Rec. & Park,10am-10pm,10am-10pm,10am-10pm,10am-10pm,10am-10pm,9am-6pm,9am-6pm,
Mission Rec Center-Harrison/20th,9,94110,Rec. & Park,"9am-10pm,","9am-10pm,","9am-10pm,","9am-10pm,","9am-10pm,",9am-6pm,9am-6pm,
Rolph P/G-Potrero/Caesar Chavez,9,94110,Rec. & Park,1pm-10pm,1pm-10pm,1pm-10pm,1pm-10pm,1pm-10pm,9am - 5 pm,closed,
St. Mary's Rec Center-Alemany/Roscoe,9,94110,Rec. & Park,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-10pm,9am-6pm,11am-5pm,
Mission Neighborhood Health Ctr.-240 Shotwell,6,94110,SF Health Dept.,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,
San Francisco General Hospital,9,94110,SF Health Dept.,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,,,
Bernal Heights-500 Cortland Ave.,9,94110,SF Public Library,closed,10am-9pm,1pm-9pm,10am-6pm,1pm-6pm,1pm-6pm,closed,
Mission-300 Bartlett St.,9,94110,SF Public Library,1pm-9pm,10am-9pm,10am-9pm,10am-6pm,1pm-6pm,10am-6pm,1pm-5pm,
Market/California/Davis,3,94111,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Justin Herman Plaza,3,94111,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Pier 7,3,94111,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Clay/Drumm,3,94111,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Free entry
Golden Gateway Garage-250 Clay,3,94111,Parking Authority,4am-12am,4am-12am,4am-12am,4am-12am,4am-2am,9am-2am,9am-10pm,Currently patrons only
City College-50 Phelan,7,94112,Public Building,7am-10pm,7am-10pm,7am-10pm,7am-10pm,7am-5pm,closed,closed,
Alice Chalmers-Brunswick/Romer,11,94112,Rec. & Park,9:30am-7:30pm,9:30am-7:30pm,9:30am-7:30pm,9:30am-7:30pm,9:30am-7:30pm,closed,closed,
Cayuga Playground-Cayuga/Naglee,11,94112,Rec. & Park,9:30am-8:30pm,9:30am-8:30pm,9:30am-8:30pm,9:30am-8:30pm,9:30am-8:30pm,closed,closed,
Excelsior-Russia/Madrid,11,94112,Rec. & Park,9am-10 pm,9am-10 pm,9am-10 pm,9am-10 pm,9am-10 pm,10am-4pm,closed,
Oceanview-Capital/Montana,11,94112,Rec. & Park,9:30am-8:30pm,9:30am-8:30pm,9:30am-8:30pm,9:30am-8:30pm,9:30am-8:30pm,9am-5pm,12pm-5:pm,
Excelsior Group-4434 Mission Street,11,94112,SF Health Dept.,8:30am-5:30pm,8:30am-5:30pm,8:30am-5:30pm,8:30am-5:30pm,8:30am-5:30pm,closed,closed,
Excelsior-4400 Mission,11,94112,SF Public Library,1pm-9pm,10am-9pm,10am-9pm,10am-6pm,1pm-6pm,10am-6pm,1pm-5pm,
Ingleside-1649 Ocean Ave.,11,94112,SF Public Library,closed,10am-6pm,12pm-8pm,12pm-6pm,1pm-6pm,1pm-6pm,closed,
Jefferson/Powell (Fisherman's Wharf),3,94113,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Jefferson/Powell (Fisherman's Wharf),3,94113,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Coit Tower,3,94113,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
Vallejo Street Garage-766 Vallejo St.,3,94113,Parking Authority,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,Currently employee only
North Beach-735 Vallejo St.,3,94113,Parking Authority,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,currently employee only
North Beach PG-Powell/Lombard,3,94113,Rec. & Park,7am-7pm,7am-9pm,7am-9pm,7am-9pm,7am-9pm,7am-9pm,7am-9pm,
North Beach Pool-Powell/Lombard,3,94113,Rec. & Park,6am-9pm,6am-9pm,6am-9pm,6am-9pm,6am-9pm,6am-9pm,6am-9pm,
W oh Hei Yuen PG-Powell/Jackson,3,94113,Rec. & Park,9:30am-9pm,12pm-9pm,9:30am-9pm,12pm-9pm,9:30am-9pm,9am-6pm,12pm-5pm,
Washington Square-Union/Columbus,3,94113,Rec. & Park,6am-2:30am,6am-2:30am,6am-2:30am,6am-2:30am,6am-2:30am,6am-2:30am,6am-2:30am,
Chinatown Health Ctr.-1490 Mason @ Broadway,3,94113,SF Health Dept.,8am-5pm,8am-5pm,8am-5pm,8am-5pm,8am-5pm,closed,closed,
Market/Castro/17th St.,8,94114,DPW/DeCaux,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,
